0.26,2.45,2.04,2.4,2.3,2.45,3.33,2.32
0.24,4.11,3.41,3.25,2.5,4.11,3.12,3.26
0.74,2.75,2.98,2.96,3.68,2.75,3.38,2.91
0.24,4.99,3.87,4.25,3.79,4.99,4.99,4.99
0.18,,,,,,,
0.22,3.95,2.84,4.02,3.39,3.95,3.54,4.16
0.54,3.62,4.78,3.2,3.67,3.62,4.07,3.68
0.9,4.2,4.37,4.57,4.53,4.2,4.68,4.31
0.49,3.74,3.89,3.19,3.97,3.74,4.08,3.08
0.72,3.74,4.25,4.44,3.76,3.74,3.98,3.85
0.9,3.19,4.21,4.16,3.74,3.19,3.21,3.5
0.69,3.91,4.81,4.48,4.31,3.91,4.03,3.77
0.46,3.92,4.8,4.71,4.06,3.92,4.23,4.03
0.76,3.88,3.94,4.29,4.12,3.88,3.81,3.86
0.57,3.34,4.15,3.88,3.63,3.34,3.35,3.45
0.68,3.95,3.4,3.65,3.84,3.95,4.45,3.69
0.47,4.15,4.41,4.6,3.61,4.15,4.4,3.37
0.9,3.77,3.41,3.77,3.29,3.77,4.44,3.92
0.88,4.78,4.16,4.76,4.6,4.78,4.62,4.75
0.77,2.27,4.51,2.56,4.06,2.27,4,3.11
0.67,3.87,4.65,3.61,3.81,3.87,4.29,3.71
0.89,3.65,4.05,4.43,3.97,3.65,3.95,3.78
0.27,3.27,3.6,4.21,4.22,3.27,4.08,4.03
0.79,2.74,3.19,2.1,3,2.74,3.03,3.22
0.84,3.68,3.99,4.14,3.57,3.68,4.45,3.73
0.62,4.02,4.82,4.73,4.22,4.02,4.31,4.11
0.36,3.75,3.48,3.6,3.79,3.75,3.72,3.42
0.79,3.42,4.26,4.24,3.87,3.42,3.67,3.23
0.52,3.38,3.13,3.76,3.14,3.38,3.67,3.47
0.25,4.1,4.46,3.81,4.64,4.1,4.38,4.54
0.88,,,,,,,
0.23,4.26,3.97,4.49,4.28,4.26,4.62,4.39
0.18,1.74,3.24,2.7,2.91,1.74,2.64,1.97
0.4,3.62,4.42,3.85,4.13,3.62,4.45,3.52
